title,status,size_mw,size_mwh,year_operational,technology,owner,categories,latitude,longitude,state
Culcairn,Announced,350.0,904.0,2027,,Neoen,2,-35.67,147.04,NSW
Kiar,Announced,1000.0,4000.0,2027,,Bid Energy,2,-30.5,151.7,NSW
Canyonleigh,Announced,300.0,1200.0,2027,Not specified,X-Elio,2,-34.59,150.18,NSW
Nowingi,Announced,300.0,2400.0,2027,Not specified,Edify Energy,2,-34.98,142.39,VIC
Summerville,Announced,90.0,3600.0,2027,Not specified,OX2,2,-36.02,146.55,VIC
Sunshine State,Announced,128.0,256.0,2029,Not specified,OX2,2,-25.0,151.99,QLD
Bowmans Creek,Construction,250.0,2414.0,2028,n/a,Ark Energy,3,-32.21,150.88,NSW
Teebar,Construction,400.0,1600.0,,n/a,Atmos Renewables,3,-24.01,151.58,QLD
Heywood,Announced,300.0,1200.0,2027,n/a,Atmos Renewables,2,-38.13,141.63,VIC
Mulwala,Construction,20.0,40.0,2026,n/a,European Energy,3,-26.951090447489378,121.10359463537183,WA
Forest Glen,Construction,25.0,25.0,2026,n/a,X-Elio,3,-26.69,152.96,QLD
Port Latta,Construction,21.0,,2026,N/A,Aquila Group,13,-40.87,145.28,TAS
Kerang,Announced,103.0,206.0,,n/a,Banpu,2,-35.73,143.92,VIC
Kerang Solar Hybrid,Announced,55.0,110.0,2027,n/a,Ace Power,2,-35.73,143.92,VIC
Blanche,Announced,125.0,500.0,2027,N/A,Potentia Energy,2,-37.43,140.84,SA
Harrogate,Announced,270.0,1080.0,2028,N/A,Potentia Energy,2,-34.94,139.13,SA
Exmouth Power Project,Construction,10.0,49.0,2026,N/A,Pacific Energy,3,-21.93,114.12,WA
Belah,Announced,400.0,1600.0,2028,N/A,LP Renewables and Eku Energy,2,-31.22,148.47,NSW
Jundee,Operating,12.0,12.0,2025,n/a,Pacific Energy.,1,-26.522441736682342,120.82893262224006,WA
Mt Weld,Construction,12.0,12.0,2025,n/a,Pacific Energy.,3,-28.24,122.09,WA
Middlebrook,Construction,320.0,813.0,2029,N/A,TotalEnergies.,3,-32.64,149.8,NSW
Corop,Construction,290.0,704.0,2029,N/A,BNRG Leeson.,3,-36.38,144.84,VIC
Merino,Construction,450.0,800.0,2029,N/A,EDPR,3,-37.73,141.53,VIC
Gawara Baya,Construction,104.0,217.0,2029,N/A,Windlab.,3,-26.923118866077115,121.10937136658818,WA
Pelican Point,Construction,200.0,400.0,2027,Sungrow,Engie.,3,-20.068218150450527,132.86642423750757,NT
Eliwana,Announced,120.0,120.0,,,Fortescue,2,-27.038756109452176,121.11158734275554,WA
North Star Junction,Construction,50.0,250.0,,,Fortescue,3,-32.88,149.64,NSW
Tailem Bend 3,Construction,41.5,41.5,2027,Canadian Solar e-Storage,Vena Energy,3,-35.33136350871432,139.5318748428394,SA
Kalgoorlie Regional Renewable Energy Project,Announced,130.0,300.0,2027,n/a,Zenith Energy,2,-26.937292632441874,120.82668094065818,WA
Tully,Announced,200.0,800.0,2028,N/A,RWE,2,-17.93,145.93,QLD
Meering West,Announced,500.0,,2028,N/A,Meering West-Virya Energy.,2,-36.7,143.44,VIC
